"STORE_ID","STORE_NAME","BUSINESS_ID","MERCHANT_STORE_ID","TRANSACTIONS_START_LOCAL_DATE","TRANSACTIONS_END_LOCAL_DATE","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX","DRIVE_CHARGE","MARKETING_FEES","STOREFRONT_TRANSACTION_FEES","STOREFRONT_DELIVERY_FEES","STAFF_TIPS","ERROR_CHARGES","ADJUSTMENTS","TOTAL_BEFORE_ADJUSTMENTS","ESTIMATED_PAYOUT","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
1239051,"Cheebo's Burger Stand Burbank",252489,"NULL","2021-09-23","2021-09-24",87.60,8.97,26.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.28,70.28,0.00,87.60,0.00,0.00
1239057,"Cheebo Burbank",52235,"NULL","2021-09-22","2021-09-26",433.10,44.38,129.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,347.52,347.52,0.00,433.10,10.00,0.00
1243742,"Coast Burger Burbank",467218,"NULL","2021-09-23","2021-09-23",43.70,4.48,13.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.07,35.07,0.00,43.70,0.00,0.00
1244667,"Hollywood Wraps Burbank",209813,"NULL","2021-09-20","2021-09-25",187.55,19.21,47.50,0.00,0.00,0.00,1.15,0.00,0.00,0.00,6.79,158.11,164.90,0.00,187.55,0.00,0.00
1244744,"The Codfather (Burbank)",468419,"NULL","2021-09-20","2021-09-26",227.00,23.26,63.03,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,186.44,186.44,0.00,227.00,0.00,0.00
1244755,"Fisher & Sons Fish and Chips Burbank",470278,"NULL","2021-09-21","2021-09-26",136.25,13.97,40.89,0.00,0.00,0.00,0.00,0.00,0.00,8.41,0.00,100.92,100.92,0.00,136.25,0.00,0.00
1250832,"LA Greens Burbank",362431,"NULL","2021-09-20","2021-09-26",94.60,9.70,28.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.90,75.90,0.00,94.60,0.00,0.00
1251413,"Morning After Breakfast Burbank",466789,"NULL","2021-09-23","2021-09-25",31.85,3.27,9.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.56,25.56,0.00,31.85,0.00,0.00
1251426,"Ma Soul's Chicken And Waffles Burbank",287055,"NULL","2021-09-20","2021-09-26",316.25,32.41,89.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.84,258.84,0.00,316.25,10.00,0.00
1251704,"Nacho Lords Burbank",545619,"NULL","2021-09-21","2021-09-26",257.65,26.40,74.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.32,209.56,241.88,0.00,257.65,0.00,0.00
1251723,"No Joke PBJ (Wilshire Blvd)",558892,"NULL","2021-09-21","2021-09-21",14.95,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.37,16.37,0.00,14.95,0.00,0.00
1253393,"Sierra Bonita Mexican Grill Burbank",251573,"NULL","2021-09-21","2021-09-24",160.85,16.48,48.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.07,129.07,0.00,160.85,0.00,0.00
1253452,"Oscars Pancake Bar Burbank",251607,"NULL","2021-09-21","2021-09-26",292.15,29.93,87.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.42,234.42,0.00,292.15,0.00,0.00
1253592,"Pipeline Wraps  Burbank",350481,"NULL","2021-09-21","2021-09-22",64.65,6.62,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.87,51.87,0.00,64.65,0.00,0.00
1253621,"Nocturnal Eats Burbank",185264,"NULL","2021-09-21","2021-09-25",272.00,27.88,73.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.69,226.69,0.00,272.00,8.20,0.00
1253679,"Seaside Burritos And Tacos  Burbank",466228,"NULL","2021-09-22","2021-09-24",42.80,4.39,12.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.35,34.35,0.00,42.80,0.00,0.00
1256675,"Woofers Hot Dogs Burbank",466820,"NULL","2021-09-23","2021-09-26",103.25,10.58,30.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.85,82.85,0.00,103.25,0.00,0.00
1257034,"Sunset Beach Fish & Chips Burbank",251112,"NULL","2021-09-21","2021-09-25",285.70,29.27,85.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.23,229.23,0.00,285.70,0.00,0.00
1257227,"Surf City Wings Burbank",294695,"NULL","2021-09-21","2021-09-21",33.85,3.47,10.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.16,27.16,0.00,33.85,0.00,0.00
1257618,"Welders Grilled Cheese Burbank",404303,"NULL","2021-09-21","2021-09-25",452.95,46.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,499.39,499.39,0.00,452.95,0.00,0.00
1328796,"Angel Pasta Santa Monica",575775,"NULL","2021-09-21","2021-09-26",449.05,42.71,134.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,357.00,357.00,0.00,449.05,5.00,0.00
1333886,"Angel Wings Santa Monica",251575,"NULL","2021-09-21","2021-09-26",381.10,36.23,114.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.97,302.97,316.94,0.00,381.10,10.00,0.00
1335848,"Burger Bitch Santa Monica",467990,"NULL","2021-09-21","2021-09-26",298.85,28.40,45.34,0.00,0.00,0.00,2.65,0.00,0.00,0.00,0.00,279.26,279.26,0.00,298.85,0.00,0.00
1343822,"Cheebo Express Santa Monica",393555,"NULL","2021-09-21","2021-09-24",61.20,5.82,18.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.66,48.66,0.00,61.20,0.00,0.00
1343834,"Cheebo's Burger Stand Santa Monica",252489,"NULL","2021-09-21","2021-09-23",130.10,12.37,34.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.06,108.06,0.00,130.10,0.00,0.00
